抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-01-27,"[9, 4, 2, 7]","[2, 2, 6, 4]",2,はずれ,0.9507,PPO,予測5
1995-01-31,"[9, 3, 0, 5]","[3, 8, 2, 5]",2,はずれ,0.945,PPO,予測1
1995-01-31,"[0, 0, 0, 1]","[3, 8, 2, 5]",0,はずれ,0.9569,Diffusion,予測2
1995-01-31,"[2, 9, 1, 0]","[3, 8, 2, 5]",1,はずれ,0.9532,PPO,予測3
1995-01-31,"[0, 4, 9, 6]","[3, 8, 2, 5]",0,はずれ,0.9527,PPO,予測4
1995-01-31,"[1, 1, 0, 0]","[3, 8, 2, 5]",0,はずれ,0.9527,Diffusion,予測5
1995-02-03,"[7, 6, 4, 3]","[7, 0, 5, 9]",1,はずれ,0.9456,PPO,予測1
1995-02-03,"[1, 0, 0, 0]","[7, 0, 5, 9]",1,はずれ,0.9569,Diffusion,予測2
1995-02-03,"[0, 0, 1, 0]","[7, 0, 5, 9]",1,はずれ,0.9569,Diffusion,予測3
1995-02-03,"[0, 1, 1, 0]","[7, 0, 5, 9]",1,はずれ,0.9527,Diffusion,予測4
1995-02-03,"[6, 1, 0, 4]","[7, 0, 5, 9]",1,はずれ,0.9523,PPO,予測5
1995-02-07,"[8, 0, 5, 9]","[0, 2, 8, 3]",2,はずれ,0.91,Synthetic,予測1
1995-02-07,"[1, 0, 2, 0]","[0, 2, 8, 3]",2,はずれ,0.9556,Diffusion,予測2
1995-02-07,"[0, 0, 0, 1]","[0, 2, 8, 3]",1,はずれ,0.9546,Diffusion,予測3
1995-02-07,"[0, 0, 1, 0]","[0, 2, 8, 3]",1,はずれ,0.9546,Diffusion,予測4
1995-02-07,"[0, 1, 0, 1]","[0, 2, 8, 3]",1,はずれ,0.9512,Diffusion,予測5
1995-02-10,"[1, 2, 8, 3]","[2, 3, 2, 1]",3,はずれ,0.91,Synthetic,予測1
1995-02-10,"[2, 0, 1, 0]","[2, 3, 2, 1]",2,はずれ,0.9565,Diffusion,予測2
1995-02-10,"[1, 2, 0, 0]","[2, 3, 2, 1]",2,はずれ,0.9565,Diffusion,予測3
1995-02-10,"[0, 1, 0, 0]","[2, 3, 2, 1]",1,はずれ,0.9561,Diffusion,予測4
1995-02-10,"[4, 5, 2, 1]","[2, 3, 2, 1]",2,はずれ,0.9494,PPO,予測5
1995-02-14,"[2, 7, 1, 9]","[4, 5, 5, 6]",0,はずれ,0.7374,diversity,予測1
1995-02-14,"[0, 0, 0, 1]","[4, 5, 5, 6]",0,はずれ,0.9542,Diffusion,予測2
1995-02-14,"[0, 0, 1, 0]","[4, 5, 5, 6]",0,はずれ,0.9542,Diffusion,予測3
1995-02-14,"[0, 1, 0, 0]","[4, 5, 5, 6]",0,はずれ,0.9542,Diffusion,予測4
1995-02-14,"[0, 7, 6, 5]","[4, 5, 5, 6]",2,はずれ,0.9494,PPO,予測5
1995-02-17,"[6, 0, 2, 5]","[3, 3, 6, 0]",2,はずれ,0.9545,PPO,予測1
1995-02-17,"[5, 0, 6, 2]","[3, 3, 6, 0]",2,はずれ,0.9545,PPO,予測2
1995-02-17,"[1, 2, 0, 5]","[3, 3, 6, 0]",1,はずれ,0.9522,PPO,予測3
1995-02-17,"[3, 1, 2, 0]","[3, 3, 6, 0]",2,はずれ,0.9506,PPO,予測4
1995-02-17,"[1, 0, 3, 2]","[3, 3, 6, 0]",2,はずれ,0.9506,PPO,予測5
1995-02-21,"[4, 3, 6, 0]","[4, 9, 0, 8]",2,はずれ,0.91,Synthetic,予測1
1995-02-21,"[0, 0, 1, 0]","[4, 9, 0, 8]",1,はずれ,0.9513,Diffusion,予測2
1995-02-21,"[4, 1, 5, 2]","[4, 9, 0, 8]",1,はずれ,0.9481,PPO,予測3
